			0		
191114153	6,1,5,4,8,10,7,9,2,3	2019-11-14 20:10:00	55	大,小,小,小,大,大,大,大,小,小	双,单,单,双,双,双,单,单,双,单
191114154	7,3,9,8,2,6,4,1,5,10	2019-11-14 20:15:00	55	大,小,大,大,小,大,小,小,小,大	单,单,单,双,双,双,双,单,单,双
191114155	7,2,4,10,3,1,8,9,6,5	2019-11-14 20:20:00	55	大,小,小,大,小,小,大,大,大,小	单,双,双,双,单,单,双,单,双,单
191114156	4,1,9,5,10,8,2,7,6,3	2019-11-14 20:25:00	55	小,小,大,小,大,大,小,大,大,小	双,单,单,单,双,双,双,单,双,单
191114157	7,9,6,3,1,4,5,2,10,8	2019-11-14 20:30:00	55	大,大,大,小,小,小,小,小,大,大	单,单,双,单,单,双,单,双,双,双
191114158	4,7,10,9,5,3,6,2,8,1	2019-11-14 20:35:00	55	小,大,大,大,小,小,大,小,大,小	双,单,双,单,单,单,双,双,双,单
191114159	10,5,4,2,9,3,6,7,8,1	2019-11-14 20:40:00	55	大,小,小,小,大,小,大,大,大,小	双,单,双,双,单,单,双,单,双,单
191114160	8,10,2,5,4,1,3,9,6,7	2019-11-14 20:45:00	55	大,大,小,小,小,小,小,大,大,大	双,双,双,单,双,单,单,单,双,单
191114161	6,3,7,2,4,10,5,9,1,8	2019-11-14 20:50:00	55	大,小,大,小,小,大,小,大,小,大	双,单,单,双,双,双,单,单,单,双
191114162	6,10,9,1,4,3,7,8,2,5	2019-11-14 20:55:00	55	大,大,大,小,小,小,大,大,小,小	双,双,单,单,双,单,单,双,双,单
191114163	10,8,2,9,1,5,6,3,7,4	2019-11-14 21:00:00	55	大,大,小,大,小,小,大,小,大,小	双,双,双,单,单,单,双,单,单,双
191114164	3,6,2,7,4,8,9,5,1,10	2019-11-14 21:05:00	55	小,大,小,大,小,大,大,小,小,大	单,双,双,单,双,双,单,单,单,双
191114165	5,10,9,4,6,3,2,8,7,1	2019-11-14 21:10:00	55	小,大,大,小,大,小,小,大,大,小	单,双,单,双,双,单,双,双,单,单
191114166	9,10,2,7,3,4,6,5,1,8	2019-11-14 21:15:00	55	大,大,小,大,小,小,大,小,小,大	单,双,双,单,单,双,双,单,单,双
191114167	10,9,6,7,2,5,1,8,3,4	2019-11-14 21:20:00	55	大,大,大,大,小,小,小,大,小,小	双,单,双,单,双,单,单,双,单,双
191114168	3,5,6,9,10,8,7,1,4,2	2019-11-14 21:25:00	55	小,小,大,大,大,大,大,小,小,小	单,单,双,单,双,双,单,单,双,双
191114169	10,8,2,4,9,3,5,1,6,7	2019-11-14 21:30:00	55	大,大,小,小,大,小,小,小,大,大	双,双,双,双,单,单,单,单,双,单
191114170	9,8,6,3,7,2,1,5,4,10	2019-11-14 21:35:00	55	大,大,大,小,大,小,小,小,小,大	单,双,双,单,单,双,单,单,双,双
