			0		
191114153	9,8,2,5,7,3,6,10,4,1	2019-11-14 20:10:00	55	大,大,小,小,大,小,大,大,小,小	单,双,双,单,单,单,双,双,双,单
191114154	8,4,9,6,7,2,5,1,3,10	2019-11-14 20:15:00	55	大,小,大,大,大,小,小,小,小,大	双,双,单,双,单,双,单,单,单,双
191114155	1,4,2,6,8,3,7,5,9,10	2019-11-14 20:20:00	55	小,小,小,大,大,小,大,小,大,大	单,双,双,双,双,单,单,单,单,双
191114156	8,2,9,4,1,10,7,5,3,6	2019-11-14 20:25:00	55	大,小,大,小,小,大,大,小,小,大	双,双,单,双,单,双,单,单,单,双
191114157	4,8,3,2,10,9,1,6,5,7	2019-11-14 20:30:00	55	小,大,小,小,大,大,小,大,小,大	双,双,单,双,双,单,单,双,单,单
191114158	10,8,2,5,3,4,1,9,7,6	2019-11-14 20:35:00	55	大,大,小,小,小,小,小,大,大,大	双,双,双,单,单,双,单,单,单,双
191114159	4,10,1,9,2,3,6,7,8,5	2019-11-14 20:40:00	55	小,大,小,大,小,小,大,大,大,小	双,双,单,单,双,单,双,单,双,单
191114160	2,1,5,8,9,7,6,4,3,10	2019-11-14 20:45:00	55	小,小,小,大,大,大,大,小,小,大	双,单,单,双,单,单,双,双,单,双
191114161	3,8,2,1,6,10,9,4,7,5	2019-11-14 20:50:00	55	小,大,小,小,大,大,大,小,大,小	单,双,双,单,双,双,单,双,单,单
191114162	2,6,4,1,3,8,5,9,7,10	2019-11-14 20:55:00	55	小,大,小,小,小,大,小,大,大,大	双,双,双,单,单,双,单,单,单,双
191114163	9,2,5,1,6,3,10,8,7,4	2019-11-14 21:00:00	55	大,小,小,小,大,小,大,大,大,小	单,双,单,单,双,单,双,双,单,双
191114164	3,8,6,5,7,2,9,10,4,1	2019-11-14 21:05:00	55	小,大,大,小,大,小,大,大,小,小	单,双,双,单,单,双,单,双,双,单
191114165	4,9,10,6,3,5,1,7,8,2	2019-11-14 21:10:00	55	小,大,大,大,小,小,小,大,大,小	双,单,双,双,单,单,单,单,双,双
191114166	9,1,10,7,4,8,6,2,5,3	2019-11-14 21:15:00	55	大,小,大,大,小,大,大,小,小,小	单,单,双,单,双,双,双,双,单,单
191114167	4,10,8,6,7,1,3,5,2,9	2019-11-14 21:20:00	55	小,大,大,大,大,小,小,小,小,大	双,双,双,双,单,单,单,单,双,单
191114168	3,1,5,9,4,6,2,8,10,7	2019-11-14 21:25:00	55	小,小,小,大,小,大,小,大,大,大	单,单,单,单,双,双,双,双,双,单
191114169	6,7,1,4,3,2,5,9,8,10	2019-11-14 21:30:00	55	大,大,小,小,小,小,小,大,大,大	双,单,单,双,单,双,单,单,双,双
