			0		
20191114085	8,5,1,2,9,4,7,3,10,6	2019-11-14 20:09:00	55	大,小,小,小,大,小,大,小,大,大	双,单,单,双,单,双,单,单,双,双
20191114086	2,6,7,10,3,5,9,8,1,4	2019-11-14 20:14:00	55	小,大,大,大,小,小,大,大,小,小	双,双,单,双,单,单,单,双,单,双
20191114087	4,9,6,8,7,5,3,2,10,1	2019-11-14 20:19:00	55	小,大,大,大,大,小,小,小,大,小	双,单,双,双,单,单,单,双,双,单
20191114088	8,2,4,1,6,10,5,3,9,7	2019-11-14 20:24:00	55	大,小,小,小,大,大,小,小,大,大	双,双,双,单,双,双,单,单,单,单
20191114089	6,8,1,10,5,7,2,4,9,3	2019-11-14 20:29:00	55	大,大,小,大,小,大,小,小,大,小	双,双,单,双,单,单,双,双,单,单
20191114090	3,9,2,6,5,1,4,7,10,8	2019-11-14 20:34:00	55	小,大,小,大,小,小,小,大,大,大	单,单,双,双,单,单,双,单,双,双
20191114091	8,1,3,6,9,7,4,10,5,2	2019-11-14 20:39:00	55	大,小,小,大,大,大,小,大,小,小	双,单,单,双,单,单,双,双,单,双
20191114092	9,8,7,3,4,5,1,6,10,2	2019-11-14 20:44:00	55	大,大,大,小,小,小,小,大,大,小	单,双,单,单,双,单,单,双,双,双
20191114093	2,6,10,3,5,9,1,4,8,7	2019-11-14 20:49:00	55	小,大,大,小,小,大,小,小,大,大	双,双,双,单,单,单,单,双,双,单
20191114094	1,7,2,4,3,5,9,10,8,6	2019-11-14 20:54:00	55	小,大,小,小,小,小,大,大,大,大	单,单,双,双,单,单,单,双,双,双
20191114095	8,6,4,7,3,9,2,10,5,1	2019-11-14 20:59:00	55	大,大,小,大,小,大,小,大,小,小	双,双,双,单,单,单,双,双,单,单
20191114096	8,6,4,10,3,7,2,5,1,9	2019-11-14 21:04:00	55	大,大,小,大,小,大,小,小,小,大	双,双,双,双,单,单,双,单,单,单
20191114097	1,6,9,8,4,2,3,10,5,7	2019-11-14 21:09:00	55	小,大,大,大,小,小,小,大,小,大	单,双,单,双,双,双,单,双,单,单
20191114098	8,7,2,9,5,10,3,1,4,6	2019-11-14 21:14:00	55	大,大,小,大,小,大,小,小,小,大	双,单,双,单,单,双,单,单,双,双
20191114099	1,10,2,5,4,3,6,7,9,8	2019-11-14 21:19:00	55	小,大,小,小,小,小,大,大,大,大	单,双,双,单,双,单,双,单,单,双
20191114100	9,5,7,10,8,2,4,6,1,3	2019-11-14 21:24:00	55	大,小,大,大,大,小,小,大,小,小	单,单,单,双,双,双,双,双,单,单
20191114101	1,3,2,8,9,4,6,7,10,5	2019-11-14 21:29:00	55	小,小,小,大,大,小,大,大,大,小	单,单,双,双,单,双,双,单,双,单
20191114102	8,10,5,2,7,3,9,4,1,6	2019-11-14 21:34:00	55	大,大,小,小,大,小,大,小,小,大	双,双,单,双,单,单,单,双,单,双
20191114103	4,8,5,10,3,7,6,2,9,1	2019-11-14 21:39:00	55	小,大,小,大,小,大,大,小,大,小	双,双,单,双,单,单,双,双,单,单
20191114104	8,9,5,6,10,4,1,7,2,3	2019-11-14 21:44:00	55	大,大,小,大,大,小,小,大,小,小	双,单,单,双,双,双,单,单,双,单
20191114105	4,9,8,1,10,7,2,3,5,6	2019-11-14 21:49:00	55	小,大,大,小,大,大,小,小,小,大	双,单,双,单,双,单,双,单,单,双
20191114106	3,5,10,7,6,2,4,1,8,9	2019-11-14 21:54:00	55	小,小,大,大,大,小,小,小,大,大	单,单,双,单,双,双,双,单,双,单
20191114107	5,10,8,2,6,1,3,9,4,7	2019-11-14 21:59:00	55	小,大,大,小,大,小,小,大,小,大	单,双,双,双,双,单,单,单,双,单
20191114108	5,4,2,7,8,9,1,3,10,6	2019-11-14 22:04:00	55	小,小,小,大,大,大,小,小,大,大	单,双,双,单,双,单,单,单,双,双
20191114109	6,4,9,10,8,7,2,5,3,1	2019-11-14 22:09:00	55	大,小,大,大,大,大,小,小,小,小	双,双,单,双,双,单,双,单,单,单
20191114110	10,9,7,5,6,2,3,4,1,8	2019-11-14 22:14:00	55	大,大,大,小,大,小,小,小,小,大	双,单,单,单,双,双,单,双,单,双
20191114111	4,10,6,1,2,7,9,8,5,3	2019-11-14 22:19:00	55	小,大,大,小,小,大,大,大,小,小	双,双,双,单,双,单,单,双,单,单
20191114112	10,9,3,7,5,6,8,4,2,1	2019-11-14 22:24:00	55	大,大,小,大,小,大,大,小,小,小	双,单,单,单,单,双,双,双,双,单
20191114113	2,6,10,1,4,8,3,5,9,7	2019-11-14 22:29:00	55	小,大,大,小,小,大,小,小,大,大	双,双,双,单,双,双,单,单,单,单
20191114114	6,8,1,4,2,5,10,7,3,9	2019-11-14 22:34:00	55	大,大,小,小,小,小,大,大,小,大	双,双,单,双,双,单,双,单,单,单
20191114115	2,9,1,7,5,3,8,4,10,6	2019-11-14 22:39:00	55	小,大,小,大,小,小,大,小,大,大	双,单,单,单,单,单,双,双,双,双
20191114116	1,7,9,2,6,8,5,4,10,3	2019-11-14 22:44:00	55	小,大,大,小,大,大,小,小,大,小	单,单,单,双,双,双,单,双,双,单
20191114117	2,5,7,6,3,8,9,4,1,10	2019-11-14 22:49:00	55	小,小,大,大,小,大,大,小,小,大	双,单,单,双,单,双,单,双,单,双
20191114118	3,5,7,4,8,6,10,9,1,2	2019-11-14 22:54:00	55	小,小,大,小,大,大,大,大,小,小	单,单,单,双,双,双,双,单,单,双
20191114119	6,2,4,10,5,8,7,3,9,1	2019-11-14 22:59:00	55	大,小,小,大,小,大,大,小,大,小	双,双,双,双,单,双,单,单,单,单
20191114120	3,7,9,1,8,5,4,6,10,2	2019-11-14 23:04:00	55	小,大,大,小,大,小,小,大,大,小	单,单,单,单,双,单,双,双,双,双
20191114121	1,2,5,7,9,8,4,6,3,10	2019-11-14 23:09:00	55	小,小,小,大,大,大,小,大,小,大	单,双,单,单,单,双,双,双,单,双
20191114122	1,6,2,8,9,7,10,4,5,3	2019-11-14 23:14:00	55	小,大,小,大,大,大,大,小,小,小	单,双,双,双,单,单,双,双,单,单
20191114123	10,6,8,9,7,5,4,3,2,1	2019-11-14 23:19:00	55	大,大,大,大,大,小,小,小,小,小	双,双,双,单,单,单,双,单,双,单
20191114124	7,4,2,8,1,3,6,10,5,9	2019-11-14 23:24:00	55	大,小,小,大,小,小,大,大,小,大	单,双,双,双,单,单,双,双,单,单
20191114125	4,1,10,6,2,8,3,9,5,7	2019-11-14 23:29:00	55	小,小,大,大,小,大,小,大,小,大	双,单,双,双,双,双,单,单,单,单
20191114126	2,8,4,1,10,6,3,5,7,9	2019-11-14 23:34:00	55	小,大,小,小,大,大,小,小,大,大	双,双,双,单,双,双,单,单,单,单
20191114127	10,2,9,7,4,5,8,1,6,3	2019-11-14 23:39:00	55	大,小,大,大,小,小,大,小,大,小	双,双,单,单,双,单,双,单,双,单
20191114128	4,7,10,3,8,9,6,2,1,5	2019-11-14 23:44:00	55	小,大,大,小,大,大,大,小,小,小	双,单,双,单,双,单,双,双,单,单
20191114129	6,8,3,5,10,4,1,7,9,2	2019-11-14 23:49:00	55	大,大,小,小,大,小,小,大,大,小	双,双,单,单,双,双,单,单,单,双
20191114130	4,3,5,6,7,2,9,10,1,8	2019-11-14 23:54:00	55	小,小,小,大,大,小,大,大,小,大	双,单,单,双,单,双,单,双,单,双
20191114131	6,7,9,10,8,2,1,5,3,4	2019-11-14 23:59:00	55	大,大,大,大,大,小,小,小,小,小	双,单,单,双,双,双,单,单,单,双
20191114132	8,3,7,2,6,10,4,1,9,5	2019-11-15 00:04:00	55	大,小,大,小,大,大,小,小,大,小	双,单,单,双,双,双,双,单,单,单
20191114133	8,3,4,9,7,2,1,6,5,10	2019-11-15 00:09:00	55	大,小,小,大,大,小,小,大,小,大	双,单,双,单,单,双,单,双,单,双
20191114134	10,1,4,9,5,3,6,7,2,8	2019-11-15 00:14:00	55	大,小,小,大,小,小,大,大,小,大	双,单,双,单,单,单,双,单,双,双
20191114135	4,9,3,1,8,10,2,7,5,6	2019-11-15 00:19:00	55	小,大,小,小,大,大,小,大,小,大	双,单,单,单,双,双,双,单,单,双
20191114136	9,6,10,1,4,7,2,3,5,8	2019-11-15 00:24:00	55	大,大,大,小,小,大,小,小,小,大	单,双,双,单,双,单,双,单,单,双
20191114137	3,4,10,1,2,8,5,7,9,6	2019-11-15 00:29:00	55	小,小,大,小,小,大,小,大,大,大	单,双,双,单,双,双,单,单,单,双
